Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
SWE;SWE000005245;;MOD;2024-03-19;2100-12-31;SFB9243;FG21;ANNA;SEGLN;Glommen;SFB9243;Y;Y;N;N;N;Y;265046270;FX;GNS;FPO;;;;;8.40;0.00;3.29;0.00;0.00;96.00;0.00;3;1988-02-23;MFL;;;PA;1988-01-01
SWE;SWE000005252;;MOD;2019-04-12;2100-12-31;SFB9252;KA36;KATITZI;381;;SFB9252;Y;Y;N;N;;N;;FX;FPO;GNS;;;;;6.30;0.00;0.82;0.00;0.00;7.35;0.00;3;1988-03-15;MFL;;;PA;1977-01-01
SWE;SWE000005253;;MOD;2023-03-08;2100-12-31;SFB9253;SD171;ERIS;SEHAV;Havstenssund;SFB9253;Y;Y;N;N;N;N;;FX;FPO;NO;;;;;7.20;0.00;0.80;0.00;0.00;7.35;0.00;1;1988-03-15;MFL;;;PA;1937-01-01
SWE;SWE000005257;;MOD;2013-03-03;2100-12-31;SFB9257;LL98;REX;603;;SFB9257;Y;Y;N;;;;;FX;FPO;LTL;;;;;8.15;0.00;4.93;0.00;0.00;40.44;0.00;1;1992-10-08;MFL;;;PA;1976-01-01
SWE;SWE000005263;;MOD;2020-11-30;2100-12-31;SFB9263;HA113;No name;924;;SFB9263;Y;Y;N;N;;N;;FX;FPO;NO;;;;;5.50;0.00;0.46;0.00;0.00;6.62;0.00;3;1988-03-15;MFL;;;PA;1970-01-01
SWE;SWE000005274;;MOD;2023-02-06;2100-12-31;SFB9279;LL86;HANSESKÄR;SESMO;Smögen;SFB9279;Y;Y;N;N;N;N;;FX;GND;FPO;;;;;5.40;0.00;1.71;0.00;0.00;44.12;0.00;3;1988-03-17;MFL;;;PA;1985-01-01
SWE;SWE000005275;;MOD;2022-05-12;2100-12-31;SFB9280;GG836;LYNGÖ;SEGTT;Gottskär;SFB9280;Y;Y;N;N;;N;;FX;FPO;FPO;;;;;8.50;0.00;3.33;0.00;0.00;57.35;0.00;3;1988-03-17;MFL;;;PA;1988-01-01
SWE;SWE000005290;;MOD;2020-11-30;2100-12-31;SFB9332;SM290;No name;61;;SFB9332;Y;Y;N;N;;N;;FX;FPO;FPO;;;;;5.60;0.00;0.51;0.00;0.00;84.56;0.00;3;1988-04-13;MFL;;;PA;1978-01-01
SWE;SWE000005292;;MOD;2023-11-06;2100-12-31;SFB9334;SD490;No name;SEHAV;Havstenssund;SFB9334;Y;Y;N;N;N;N;;FX;FPO;SB;;;;;6.30;0.00;0.54;0.00;0.00;7.35;0.00;1;1988-04-13;MFL;;;PA;1963-01-01
SWE;SWE000005318;;MOD;2024-05-08;2100-12-31;SFB9361;KR149;No name;SEVLO;Vållö;SFB9361;Y;Y;N;N;N;N;;FX;FPO;FPO;;;;;5.30;0.00;0.35;0.00;0.00;29.42;0.00;3;1988-04-22;MFL;;;PA;1987-01-01
SWE;SWE000005320;;MOD;2020-11-30;2100-12-31;SFB9367;SM30;MONICA;124;Greece;SFB9367;Y;Y;N;N;;N;;FX;GNS;GNS;;;;;8.40;0.00;4.27;0.00;0.00;20.59;0.00;1;1988-04-28;MFL;;;PA;1940-01-01
SWE;SWE000005413;;MOD;2019-02-28;2100-12-31;SFB9500;SD76;BARBARA;596;;SFB9500;Y;Y;N;N;;N;;FX;FPO;FPO;;;;;8.50;0.00;4.83;0.00;0.00;95.59;0.00;3;1988-06-10;MFL;;;PA;1988-01-01
SWE;SWE000005415;;MOD;2020-11-30;2100-12-31;SFB9502;HA58;FURÖN;924;;SFB9502;Y;Y;N;N;;N;;FX;FPO;GNS;;;;;6.10;0.00;0.95;0.00;0.00;29.41;0.00;3;1988-06-10;MFL;;;PA;1988-01-01
SWE;SWE000005438;;MOD;2024-03-26;2100-12-31;SFB9534;VG57;BORÖ;SETRE;Träslövsläge;SFB9534;Y;Y;N;N;N;N;;FX;FPO;GNS;;;;;6.30;0.00;0.82;0.00;0.00;3.68;0.00;3;1988-06-16;MFL;;;PA;1988-01-01
SWE;SWE000005441;;MOD;2024-04-29;2100-12-31;SFB9538;GG1166;FAXE AF BJÖRHOLMEN;SEBJH;Björholmen;SFB9538;Y;Y;N;N;N;N;;FX;FPO;LTL;;;;;5.36;0.00;0.98;0.00;0.00;29.41;0.00;3;1988-06-17;MFL;;;PA;1982-01-01
SWE;SWE000005448;;MOD;2020-11-30;2100-12-31;SFB9546;HA93;No name;919;;SFB9546;Y;Y;N;N;;N;;FX;FPO;FPO;;;;;6.00;0.00;0.54;0.00;0.00;22.06;0.00;3;1988-06-20;MFL;;;PA;1980-01-01
SWE;SWE000005458;;MOD;2022-11-30;2100-12-31;SFB9559;SG99;JULIA;SENOD;Nogersund;SFB9559;Y;Y;N;N;;N;;FX;GNS;LHP;;;;;7.80;0.00;4.60;0.00;0.00;45.59;0.00;1;1988-06-21;MFL;;;PA;1983-01-01
SWE;SWE000005462;;MOD;2020-11-30;2100-12-31;SFB9563;HA115;No name;926;;SFB9563;Y;Y;N;N;;N;;FX;FPO;GNS;;;;;6.05;0.00;0.56;0.00;0.00;36.80;0.00;3;1988-06-21;MFL;;;PA;1979-01-01
SWE;SWE000005465;;MOD;2022-09-23;2100-12-31;SFB9569;VK40;No name;SEVDK;Väderskär;SFB9569;Y;Y;N;N;;N;;FX;FPO;FPO;;;;;6.00;0.00;0.54;0.00;0.00;11.03;0.00;1;1988-06-22;MFL;;;PA;1969-01-01
SWE;SWE000005471;;MOD;2023-02-28;2100-12-31;SFB9575;SG16;JENNY;SEVAE;Valje;SFB9575;Y;Y;N;N;N;N;;FX;FPO;FPO;;;;;5.30;0.00;0.26;0.00;0.00;14.71;0.00;1;1988-06-23;MFL;;;PA;1985-01-01
SWE;SWE000005480;;MOD;2016-09-06;2100-12-31;SFB9586;HL3;THULE;811;;SFB9586;Y;Y;N;;;;;FX;OTB;NO;;;;;10.66;0.00;13.63;0.00;0.00;122.79;0.00;3;1988-06-29;MFL;;;PA;1984-01-01
SWE;SWE000005494;;MOD;2024-03-21;2100-12-31;SFB9614;SD414;No name;SEHAV;Havstenssund;SFB9614;Y;Y;N;N;N;N;;FX;LTL;FPO;;;;;5.05;0.00;0.21;0.00;0.00;22.06;0.00;3;1988-07-05;MFL;;;PA;1984-01-01
SWE;SWE000005518;;MOD;2020-11-30;2100-12-31;SFB9658;HA21;No name;924;;SFB9658;Y;Y;N;N;;N;;FX;FPO;FPO;;;;;6.10;0.00;0.49;0.00;0.00;29.41;0.00;3;1988-07-07;MFL;;;PA;1988-01-01
SWE;SWE000005524;;MOD;2020-11-30;2100-12-31;SFB9664;SN30;No name;800;;SFB9664;Y;Y;N;N;;N;;FX;FPO;GNS;;;;;5.30;0.00;0.34;0.00;0.00;18.38;0.00;3;1988-07-07;MFL;;;PA;1987-01-01
SWE;SWE000005525;;MOD;2016-07-05;2100-12-31;SFB9665;LL173;ÖRNVIK;662;;SFB9665;Y;Y;N;;;;;FX;SB;FPO;;;;;5.36;0.00;1.41;0.00;0.00;22.06;0.00;3;1988-07-07;MFL;;;PA;1976-01-01
SWE;SWE000005532;;MOD;2020-11-30;2100-12-31;SFB9673;HA120;No name;924;;SFB9673;Y;Y;N;N;;N;;FX;FPO;FPO;;;;;6.10;0.00;0.49;0.00;0.00;29.41;0.00;3;1988-07-07;MFL;;;PA;1986-01-01
SWE;SWE000005579;;MOD;2020-11-30;2100-12-31;SFB9729;HL22;No name;788;;SFB9729;Y;Y;N;N;;N;;FX;GNS;GNS;;;;;6.05;0.00;0.64;0.00;0.00;29.41;0.00;3;1988-08-01;MFL;;;PA;1979-01-01
SWE;SWE000005593;;MOD;2023-06-28;2100-12-31;SFB9749;HA121;No name;SESES;Seskarö;SFB9749;Y;Y;N;N;N;N;;FX;FPO;FPO;;;;;6.15;0.00;0.47;0.00;0.00;18.38;0.00;3;1988-08-10;MFL;;;PA;1984-01-01
SWE;SWE000005594;;MOD;2023-06-28;2100-12-31;SFB9750;HA122;No name;SESES;Seskarö;SFB9750;Y;Y;N;N;N;N;;FX;FPO;GNS;;;;;6.00;0.00;0.36;0.00;0.00;18.38;0.00;3;1988-08-10;MFL;;;PA;1977-01-01
SWE;SWE000005630;;MOD;2022-11-28;2100-12-31;SFB9799;VK79;No name;SEHAP;Händelöp;SFB9799;Y;Y;N;N;;N;;FX;FPO;FPO;;;;;5.60;0.00;0.64;0.00;0.00;16.18;0.00;1;1988-09-12;MFL;;;PA;1970-01-01
SWE;SWE000005651;;MOD;2024-05-06;2100-12-31;SFB9843;LL471;No name;SESMO;Smögen;SFB9843;Y;Y;N;N;N;N;;FX;FPO;LHP;;;;;5.85;0.00;1.45;0.00;0.00;25.74;0.00;3;1988-09-30;MFL;;;PA;1961-01-01
SWE;SWE000005667;;MOD;2022-05-13;2100-12-31;SFB9865;SM274;No name;SEBYH;Bylehamn;SFB9865;Y;Y;N;N;;N;;FX;FPO;GNS;;;;;5.25;0.00;0.65;0.00;0.00;18.70;0.00;3;1988-10-05;MFL;;;PA;1975-01-01
SWE;SWE000005676;;MOD;2024-04-29;2100-12-31;SFB9874;SIN84;INGRID;SESIM;Simrishamn;SFB9874;Y;N;N;N;N;N;;FX;FPO;GNS;;;;;7.70;0.00;3.12;0.00;0.00;36.00;0.00;1;1988-10-07;MFL;;;PA;1961-01-01
SWE;SWE000005680;;MOD;2022-10-12;2100-12-31;SFB9878;KA66;MOLLY;SESEN;Senoren;SFB9878;Y;Y;N;N;;N;;FX;LHP;GNS;;;;;7.20;0.00;3.41;0.00;0.00;26.47;0.00;3;1988-10-10;MFL;;;PA;1988-01-01
SWE;SWE000005686;;MOD;2014-01-30;2100-12-31;SFB9885;SG143;YOLDIA;359;;SFB9885;Y;Y;N;;;;;FX;GNS;GNS;;;;;10.33;0.00;9.50;0.00;0.00;95.59;0.00;1;1988-10-10;MFL;;;PA;1988-01-01
SWE;SWE000005689;;MOD;2014-11-04;2100-12-31;SFB9888;GE51;EMIL;109;Greece;SFB9888;Y;Y;N;;;;;FX;GNS;GNS;;;;;5.65;0.00;1.49;0.00;0.00;36.77;0.00;3;1988-10-13;MFL;;;PA;1975-01-01
SWE;SWE000005696;;MOD;2020-11-30;2100-12-31;SFB9899;HA127;No name;924;;SFB9899;Y;Y;N;N;;N;;FX;FPO;GNS;;;;;6.00;0.00;0.36;0.00;0.00;22.00;0.00;3;1988-11-02;MFL;;;PA;1978-01-01
SWE;SWE000005703;;MOD;2020-05-07;2100-12-31;SFB9909;NRG3;HOMÖKAN;203;Greece;SFB9909;Y;Y;N;N;;N;;FX;FPO;GNS;;;;;5.40;0.00;1.01;0.00;0.00;7.35;0.00;1;1988-11-08;MFL;;;PA;1949-01-01
SWE;SWE000005706;;MOD;2020-05-07;2100-12-31;SFB9913;LL232;MARIA;579;;SFB9913;Y;Y;N;N;;N;;FX;FPO;FPO;;;;;5.50;0.00;0.48;0.00;0.00;22.06;0.00;3;1988-11-08;MFL;;;PA;1987-01-01
SWE;SWE000005711;;MOD;2020-11-30;2100-12-31;SFB9920;GE80;No name;137;Greece;SFB9920;Y;Y;N;N;;N;;FX;GNS;GNS;;;;;6.10;0.00;0.56;0.00;0.00;33.09;0.00;3;1988-11-08;MFL;;;PA;1986-01-01
SWE;SWE000005712;;MOD;2024-03-17;2100-12-31;SFB9921;ÅS29;CINDY II;SEAHU;Åhus;SFB9921;Y;N;N;N;N;N;;FX;FPO;GNS;;;;;6.05;0.00;0.50;0.00;0.00;6.62;0.00;3;1988-11-08;MFL;;;PA;1985-01-01
SWE;SWE000005717;;MOD;2020-11-30;2100-12-31;SFB9932;VK80;No name;294;;SFB9932;Y;Y;N;N;;N;;FX;GNS;GNS;;;;;6.40;0.00;2.67;0.00;0.00;22.06;0.00;3;1988-11-10;MFL;;;PA;1984-01-01
SWE;SWE000005730;;MOD;2022-12-06;2100-12-31;SFB9946;ON39;ÅLEN;SESMR;Södra Marsö;SFB9946;Y;Y;N;N;;N;;FX;FPO;FPO;;;;;6.00;0.00;2.02;0.00;0.00;11.03;0.00;1;1988-11-22;MFL;;;PA;1967-01-01
